pl_name,hostname,tic_id,period,depth_ppm,duration_hr,stellar_Teff,stellar_logg,stellar_rad,stellar_mass,label,tfop_disposition,discovery_method,facility
Kepler-1513 b,Kepler-1513,394177315,160.88420000000,,,5491.00,4.460000,0.950000,0.943000,0,CP,Transit,Kepler
TOI-4914 b,TOI-4914,49254857,10.60057000000,,2.9000000,5805.00,4.300000,1.000000,1.030000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-237 c,TOI-237,305048087,1.74486147000,0.31400000,0.8270000,3226.00,5.049400,0.205600,0.169800,0,CP,Transit,La Silla Observatory
TOI-1898 b,TOI-1898,91987762,45.52234000000,,4.2704237,6241.00,4.116000,1.613100,1.248400,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
HD 330075 b,HD 330075,275786473,3.38773000000,,,5000.00,4.260000,0.840000,0.470000,0,CP,Radial Velocity,La Silla Observatory
KOI-351 f,KOI-351,267667295,124.91440000000,,10.9400000,6080.00,4.400000,1.200000,1.200000,0,CP,Transit,Kepler
Kepler-1812 b,Kepler-1812,170346516,7.16521978400,,,6174.00,4.417000,1.103000,1.162000,0,CP,Transit,Kepler
KMT-2017-BLG-0428L b,KMT-2017-BLG-0428L,,,,,,,,0.340000,0,CP,Microlensing,KMTNet
Kepler-516 b,Kepler-516,184085929,24.85462415000,,8.9587000,7099.00,4.040000,2.020000,1.620000,0,CP,Transit,Kepler
Kepler-1685 b,Kepler-1685,272270869,20.49050000000,,,5484.00,4.576500,0.835451,0.960000,0,CP,Transit,Kepler
Kepler-299 e,Kepler-299,48304460,38.28548900000,,5.6380000,5617.00,4.394000,1.032000,,0,CP,Transit,Kepler
TOI-1749 b,TOI-1749,233602827,2.38839000000,,,3985.00,4.700000,0.550000,0.580000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-406 b,Kepler-406,63066101,2.42629000000,,,5538.00,4.409000,1.070000,1.070000,0,CP,Transit,Kepler
OGLE-2016-BLG-1190L b,OGLE-2016-BLG-1190L,,1220.00000000000,,,,,,0.880000,0,CP,Microlensing,OGLE
Kepler-1215 b,Kepler-1215,28230011,4.76703963000,,1.8500000,5616.00,4.480000,0.930000,0.950000,0,CP,Transit,Kepler
Kepler-82 c,Kepler-82,63372898,51.54000000000,,,,,0.898000,0.910000,0,CP,Transit,Kepler
Kepler-434 b,Kepler-434,270611401,12.87470990000,,2.2880000,5977.00,4.242000,1.380000,1.198000,0,CP,Transit,Kepler
Kepler-1998 b,Kepler-1998,164525250,3.03267135000,0.00424000,1.7740000,5640.00,4.492000,0.921000,0.962000,0,CP,Transit,Kepler
Kepler-189 b,Kepler-189,158494327,10.39993100000,,3.4170000,5235.00,4.619000,0.750000,,0,CP,Transit,Kepler
HD 3765 b,HD 3765,424009747,1211.00000000000,,,5049.80,4.527285,0.830610,0.851785,0,CP,Radial Velocity,Multiple Observatories
Kepler-400 c,Kepler-400,122707140,17.34082400000,,3.4250000,5886.00,4.350000,1.145000,,0,CP,Transit,Kepler
Kepler-852 b,Kepler-852,28089606,44.93098040000,,6.4980000,6100.00,4.380000,1.160000,1.190000,0,CP,Transit,Kepler
Kepler-444 e,Kepler-444,394172596,7.74349300000,,,5046.00,4.562500,0.752000,0.758000,0,CP,Transit,Kepler
WASP-89 b,WASP-89,77202722,3.35642270000,1.49000000,2.4600000,5130.00,4.515000,0.880000,0.920000,0,CP,Transit,SuperWASP
K2-415 b,K2-415,323687123,4.01796940000,,,3173.00,5.066000,0.196500,0.163500,0,CP,Transit,K2
Kepler-328 c,Kepler-328,184164097,71.31200000000,,,,4.440000,1.060000,1.150000,0,CP,Transit,Kepler
HATS-13 b,HATS-13,289793076,3.04404990000,,2.6347200,5523.00,4.524000,0.887000,0.962000,0,CP,Transit,HATSouth
Kepler-476 b,Kepler-476,271430806,14.00640607000,,4.6809000,5837.00,4.380000,1.090000,1.030000,0,CP,Transit,Kepler
HIP 94235 b,HIP 94235,464646604,7.71305700000,,2.4700000,5991.00,4.460000,1.080000,1.094000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-763 d,Kepler-763,63130782,6.50327035000,0.04183000,2.5910000,4999.00,4.490000,0.843000,0.800000,0,CP,Transit,Kepler
Kepler-134 c,Kepler-134,48448369,10.10578500000,,2.0590000,5983.00,4.310000,1.176000,,0,CP,Transit,Kepler
HD 136352 c,HD 136352,136916387,27.59221000000,0.06380000,3.2510000,5664.00,4.390000,1.058000,0.870000,0,CP,Radial Velocity,La Silla Observatory
Kepler-359 b,Kepler-359,275568400,25.56322200000,,4.2840000,6248.00,4.429000,1.086000,,0,CP,Transit,Kepler
Kepler-777 b,Kepler-777,123497954,5.72812599000,,1.9804000,4043.00,4.710000,0.560000,0.580000,0,CP,Transit,Kepler
Kepler-1923 b,Kepler-1923,170346220,52.60969925000,,,5881.00,4.259000,1.294000,1.109000,0,CP,Transit,Kepler
Kepler-836 b,Kepler-836,158486560,11.36112327000,,4.2053000,5895.00,4.410000,1.040000,1.030000,0,CP,Transit,Kepler
Kepler-48 c,Kepler-48,171882123,9.67395000000,,,5194.00,4.487000,0.890000,0.880000,0,CP,Transit,Kepler
Kepler-521 b,Kepler-521,268302011,22.20813214000,,7.3225000,6406.00,4.240000,1.460000,1.340000,0,CP,Transit,Kepler
CWISEP J193518.59-154620.3 b,CWISEP J193518.59-154620.3,,,,,,,,0.024000,0,CP,Imaging,James Webb Space Telescope (JWST)
Kepler-726 b,Kepler-726,63000832,21.80451088000,,3.3931000,5452.00,4.530000,0.850000,0.880000,0,CP,Transit,Kepler
Kepler-1461 b,Kepler-1461,279915288,29.34947750000,,4.2070000,4919.00,4.600000,0.740000,0.790000,0,CP,Transit,Kepler
Kepler-1471 b,Kepler-1471,416282121,3.63899398000,,2.2130000,5660.00,4.480000,0.930000,0.950000,0,CP,Transit,Kepler
HD 212301 b,HD 212301,317057430,2.24571000000,,,6239.00,4.500000,1.160000,1.550000,0,CP,Radial Velocity,La Silla Observatory
GQ Lup b,GQ Lup,442623945,,,,,,,0.700000,0,CP,Imaging,Paranal Observatory
KMT-2019-BLG-1339L b,KMT-2019-BLG-1339L,,,,,,,,0.480000,0,CP,Microlensing,KMTNet
HD 159243 c,HD 159243,348652846,248.40000000000,,,6123.00,4.550000,1.120000,1.125000,0,CP,Radial Velocity,Haute-Provence Observatory
