tic_id,status,reason,out_path,n_cadences,baseline_days,rms_raw,rms_detrended
TIC_144065872,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_144065872.npz,17310.0,27.881,0.002436,0.000783
TIC_149603524,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_149603524.npz,17570.0,27.881,0.002408,0.000861
TIC_201248411,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_201248411.npz,18177.0,27.881,0.002529,0.001227
TIC_207081058,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_207081058.npz,17685.0,27.576,0.001866,0.00097
TIC_231663901,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_231663901.npz,17670.0,27.88,0.005144,0.003944
TIC_231670397,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_231670397.npz,17593.0,27.88,0.001197,0.00096
TIC_231702397,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_231702397.npz,18204.0,27.88,0.006326,0.006192
TIC_234523599,gated,rms 0.0146 > 5.0× expected 0.0014,,,,,
TIC_238176110,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_238176110.npz,17635.0,27.88,0.003128,0.001753
TIC_25155310,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_25155310.npz,17515.0,27.881,0.001854,0.001301
TIC_263003176,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_263003176.npz,18164.0,27.88,0.00028,0.00027
TIC_266980320,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_266980320.npz,18137.0,27.881,0.000684,0.000651
TIC_278683844,done,ok,E:\Multi-Agent-System\exoplanet_pipeline\data\processed\lc_detrended\TIC_278683844.npz,18214.0,27.881,0.000825,0.000697
