pl_name,hostname,tic_id,pl_orbper,pl_trandep,pl_trandur,st_teff,st_logg,st_rad,st_mass,discoverymethod,disc_facility,default_flag
"Kepler-1513 b","Kepler-1513","TIC 394177315",160.88420000000,,,5491.00,4.460000,0.950000,0.943000,"Transit","Kepler",1
"TOI-4914 b","TOI-4914","TIC 49254857",10.60057000000,,2.9000000,5805.00,4.300000,1.000000,1.030000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"TOI-237 c","TOI-237","TIC 305048087",1.74486147000,0.31400000,0.8270000,3226.00,5.049400,0.205600,0.169800,"Transit","La Silla Observatory",1
"TOI-1898 b","TOI-1898","TIC 91987762",45.52234000000,,4.2704237,6241.00,4.116000,1.613100,1.248400,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"HD 330075 b","HD 330075","TIC 275786473",3.38773000000,,,5000.00,4.260000,0.840000,0.470000,"Radial Velocity","La Silla Observatory",1
"KOI-351 f","KOI-351","TIC 267667295",124.91440000000,,10.9400000,6080.00,4.400000,1.200000,1.200000,"Transit","Kepler",1
"Kepler-1812 b","Kepler-1812","TIC 170346516",7.16521978400,,,6174.00,4.417000,1.103000,1.162000,"Transit","Kepler",1
"KMT-2017-BLG-0428L b","KMT-2017-BLG-0428L",,,,,,,,0.340000,"Microlensing","KMTNet",1
"Kepler-516 b","Kepler-516","TIC 184085929",24.85462415000,,8.9587000,7099.00,4.040000,2.020000,1.620000,"Transit","Kepler",1
"Kepler-1685 b","Kepler-1685","TIC 272270869",20.49050000000,,,5484.00,4.576500,0.835451,0.960000,"Transit","Kepler",1
"Kepler-299 e","Kepler-299","TIC 48304460",38.28548900000,,5.6380000,5617.00,4.394000,1.032000,,"Transit","Kepler",1
"TOI-1749 b","TOI-1749","TIC 233602827",2.38839000000,,,3985.00,4.700000,0.550000,0.580000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"Kepler-406 b","Kepler-406","TIC 63066101",2.42629000000,,,5538.00,4.409000,1.070000,1.070000,"Transit","Kepler",1
"OGLE-2016-BLG-1190L b","OGLE-2016-BLG-1190L",,1220.00000000000,,,,,,0.880000,"Microlensing","OGLE",1
"Kepler-1215 b","Kepler-1215","TIC 28230011",4.76703963000,,1.8500000,5616.00,4.480000,0.930000,0.950000,"Transit","Kepler",1
"Kepler-82 c","Kepler-82","TIC 63372898",51.54000000000,,,,,0.898000,0.910000,"Transit","Kepler",1
"Kepler-434 b","Kepler-434","TIC 270611401",12.87470990000,,2.2880000,5977.00,4.242000,1.380000,1.198000,"Transit","Kepler",1
"Kepler-1998 b","Kepler-1998","TIC 164525250",3.03267135000,0.00424000,1.7740000,5640.00,4.492000,0.921000,0.962000,"Transit","Kepler",1
"Kepler-189 b","Kepler-189","TIC 158494327",10.39993100000,,3.4170000,5235.00,4.619000,0.750000,,"Transit","Kepler",1
"HD 3765 b","HD 3765","TIC 424009747",1211.00000000000,,,5049.80,4.527285,0.830610,0.851785,"Radial Velocity","Multiple Observatories",1
"Kepler-400 c","Kepler-400","TIC 122707140",17.34082400000,,3.4250000,5886.00,4.350000,1.145000,,"Transit","Kepler",1
"Kepler-852 b","Kepler-852","TIC 28089606",44.93098040000,,6.4980000,6100.00,4.380000,1.160000,1.190000,"Transit","Kepler",1
"Kepler-444 e","Kepler-444","TIC 394172596",7.74349300000,,,5046.00,4.562500,0.752000,0.758000,"Transit","Kepler",1
"WASP-89 b","WASP-89","TIC 77202722",3.35642270000,1.49000000,2.4600000,5130.00,4.515000,0.880000,0.920000,"Transit","SuperWASP",1
"K2-415 b","K2-415","TIC 323687123",4.01796940000,,,3173.00,5.066000,0.196500,0.163500,"Transit","K2",1
"Kepler-328 c","Kepler-328","TIC 184164097",71.31200000000,,,,4.440000,1.060000,1.150000,"Transit","Kepler",1
"HATS-13 b","HATS-13","TIC 289793076",3.04404990000,,2.6347200,5523.00,4.524000,0.887000,0.962000,"Transit","HATSouth",1
"Kepler-476 b","Kepler-476","TIC 271430806",14.00640607000,,4.6809000,5837.00,4.380000,1.090000,1.030000,"Transit","Kepler",1
"HIP 94235 b","HIP 94235","TIC 464646604",7.71305700000,,2.4700000,5991.00,4.460000,1.080000,1.094000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"Kepler-763 d","Kepler-763","TIC 63130782",6.50327035000,0.04183000,2.5910000,4999.00,4.490000,0.843000,0.800000,"Transit","Kepler",1
"Kepler-134 c","Kepler-134","TIC 48448369",10.10578500000,,2.0590000,5983.00,4.310000,1.176000,,"Transit","Kepler",1
"HD 136352 c","HD 136352","TIC 136916387",27.59221000000,0.06380000,3.2510000,5664.00,4.390000,1.058000,0.870000,"Radial Velocity","La Silla Observatory",1
"Kepler-359 b","Kepler-359","TIC 275568400",25.56322200000,,4.2840000,6248.00,4.429000,1.086000,,"Transit","Kepler",1
"Kepler-777 b","Kepler-777","TIC 123497954",5.72812599000,,1.9804000,4043.00,4.710000,0.560000,0.580000,"Transit","Kepler",1
"Kepler-1923 b","Kepler-1923","TIC 170346220",52.60969925000,,,5881.00,4.259000,1.294000,1.109000,"Transit","Kepler",1
"Kepler-836 b","Kepler-836","TIC 158486560",11.36112327000,,4.2053000,5895.00,4.410000,1.040000,1.030000,"Transit","Kepler",1
"Kepler-48 c","Kepler-48","TIC 171882123",9.67395000000,,,5194.00,4.487000,0.890000,0.880000,"Transit","Kepler",1
"Kepler-521 b","Kepler-521","TIC 268302011",22.20813214000,,7.3225000,6406.00,4.240000,1.460000,1.340000,"Transit","Kepler",1
"CWISEP J193518.59-154620.3 b","CWISEP J193518.59-154620.3",,,,,,,,0.024000,"Imaging","James Webb Space Telescope (JWST)",1
"Kepler-726 b","Kepler-726","TIC 63000832",21.80451088000,,3.3931000,5452.00,4.530000,0.850000,0.880000,"Transit","Kepler",1
"Kepler-1461 b","Kepler-1461","TIC 279915288",29.34947750000,,4.2070000,4919.00,4.600000,0.740000,0.790000,"Transit","Kepler",1
"Kepler-1471 b","Kepler-1471","TIC 416282121",3.63899398000,,2.2130000,5660.00,4.480000,0.930000,0.950000,"Transit","Kepler",1
"HD 212301 b","HD 212301","TIC 317057430",2.24571000000,,,6239.00,4.500000,1.160000,1.550000,"Radial Velocity","La Silla Observatory",1
"GQ Lup b","GQ Lup","TIC 442623945",,,,,,,0.700000,"Imaging","Paranal Observatory",1
"KMT-2019-BLG-1339L b","KMT-2019-BLG-1339L",,,,,,,,0.480000,"Microlensing","KMTNet",1
"HD 159243 c","HD 159243","TIC 348652846",248.40000000000,,,6123.00,4.550000,1.120000,1.125000,"Radial Velocity","Haute-Provence Observatory",1
"EPIC 205950854 c","K2-168","TIC 437695245",8.05072200000,,,5502.70,,0.830000,0.877000,"Transit","K2",1
"KMT-2022-BLG-2076L b","KMT-2022-BLG-2076L",,,,,,,,0.670000,"Microlensing","KMTNet",1
"K2-162 b","K2-162","TIC 94892940",9.45889000000,0.02669000,3.0000000,4842.00,4.630000,0.690000,0.750000,"Transit","K2",1
"Kepler-1320 b","Kepler-1320","TIC 121603556",0.86838652800,,1.0575000,4817.00,4.600000,0.740000,0.800000,"Transit","Kepler",1
"K2-80 b","K2-80","TIC 242961495",19.09180000000,,4.4600000,5441.00,4.519000,0.870000,0.900000,"Transit","K2",1
"Kepler-24 b","Kepler-24","TIC 122376177",8.14000000000,,,6028.00,,1.099000,1.060000,"Transit","Kepler",1
"HAT-P-56 b","HAT-P-56","TIC 84339983",2.79083000000,1.10000000,,6566.00,3.390000,1.470000,1.420000,"Transit","HATNet",1
"Kepler-1701 b","Kepler-1701","TIC 120899838",169.13400000000,,,5146.00,4.528800,0.840217,0.870000,"Transit","Kepler",1
"WASP-195 b","WASP-195","TIC 232567319",5.05192800000,0.36020000,,6300.00,4.140000,1.578000,1.300000,"Transit","SuperWASP",1
"Kepler-93 c","Kepler-93","TIC 137151335",1460.00000000000,,,5669.00,4.468000,0.920000,0.910000,"Radial Velocity","W. M. Keck Observatory",1
"HD 117207 b","HD 117207","TIC 405501056",2621.75000000000,,,5732.00,4.371000,1.074000,1.053000,"Radial Velocity","W. M. Keck Observatory",1
"Kepler-1530 d","Kepler-1530","TIC 298892283",9.20761013000,,,5678.00,4.215000,1.303000,1.015000,"Transit","Kepler",1
"TOI-1728 b","TOI-1728","TIC 285048486",3.49151000000,,1.9600000,3980.00,4.657000,0.624300,0.646000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"Kepler-610 b","Kepler-610","TIC 275491028",6.99692655400,,2.7377000,5943.00,4.370000,1.130000,1.100000,"Transit","Kepler",1
"HD 188641 b","HD 188641","TIC 300611942",14583.81038000000,,,,,,1.070000,"Radial Velocity","Multiple Observatories",1
"HD 221287 b","HD 221287","TIC 231716612",456.10000000000,,,6304.00,4.430000,,1.250000,"Radial Velocity","La Silla Observatory",1
"K2-147 b","K2-147","TIC 398275886",0.96193900000,0.05450000,0.9024000,3690.00,4.665000,0.578000,0.563000,"Transit","K2",1
"TOI-251 b","TOI-251","TIC 224225541",4.93777000000,,2.2320000,5875.00,4.560000,0.881000,1.036000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"HD 30562 b","HD 30562","TIC 176379354",1157.00000000000,,,5882.00,4.070000,1.610000,1.120000,"Radial Velocity","Lick Observatory",1
"Kepler-1047 c","Kepler-1047","TIC 299029323",3.18897601000,,2.4900000,5754.00,4.370000,1.130000,1.080000,"Transit","Kepler",1
"HD 102329 c","HD 102329","TIC 325254372",1123.00000000000,,,,,,1.300000,"Radial Velocity","W. M. Keck Observatory",1
"Kepler-1504 b","Kepler-1504","TIC 416281986",82.30400300000,,13.8430000,5393.00,4.550000,0.810000,0.850000,"Transit","Kepler",1
"TOI-1452 b","TOI-1452","TIC 420112589",11.06201000000,0.30900000,,3185.00,4.950000,0.275000,0.249000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"Kepler-289 e","Kepler-289","TIC 273234825",330.07160000000,,,,,0.985000,1.061000,"Transit","Kepler",1
"Kepler-1154 c","Kepler-1154","TIC 169561256",8.45808312000,,3.0680000,6327.00,4.230000,1.430000,1.260000,"Transit","Kepler",1
"TOI-2654 b","TOI-2654","TIC 200805484",2.96760425926,,1.8137941,4594.08,4.637500,0.756095,,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"NY Vir c","NY Vir","TIC 175402069",8799.00000000000,,,32780.00,5.741930,0.151000,0.459000,"Eclipse Timing Variations","Winer Observatory",1
"Kepler-30 c","Kepler-30","TIC 399794329",60.32310500000,1.62000000,,5498.00,4.770000,0.950000,0.990000,"Transit","Kepler",1
"TOI-1246 e","TOI-1246","TIC 230127302",37.92548000000,,3.5440768,5213.00,4.510000,0.864900,0.888900,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"HIP 107772 b","HIP 107772","TIC 197602069",55.19900000000,,,,,,0.630000,"Radial Velocity","Multiple Observatories",1
"Kepler-1898 b","Kepler-1898","TIC 121124617",4.76562023200,,,5702.00,4.258000,1.125000,0.837000,"Transit","Kepler",1
"TIC 172900988 b","TIC 172900988 Aa","TIC 172900988",200.45200000000,,,6050.00,4.248500,1.384200,1.238400,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"Kepler-1266 b","Kepler-1266","TIC 158167159",28.47474800000,,4.8090000,5044.00,4.590000,0.760000,0.800000,"Transit","Kepler",1
"Kepler-739 b","Kepler-739","TIC 159225155",12.53248465000,,4.0098000,5601.00,4.510000,0.900000,0.930000,"Transit","Kepler",1
"TOI-7149 b","TOI-7149","TIC 459323923",2.65206166000,,1.7256000,3363.00,4.880000,0.351000,0.344000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"HD 97037 b","HD 97037","TIC 143046056",6449.08337000000,,,,,,1.060000,"Radial Velocity","Multiple Observatories",1
"KMT-2021-BLG-0712L b","KMT-2021-BLG-0712L",,,,,,,,0.220000,"Microlensing","KMTNet",1
"HAT-P-35 b","HAT-P-35","TIC 455096220",3.64670600000,,,6096.00,,1.435000,1.236000,"Transit","HATNet",1
"TOI-2015 c","TOI-2015","TIC 368287008",5.58279600000,,,3297.00,5.040000,0.327300,0.304100,"Transit Timing Variations","Multiple Observatories",1
"Kepler-1266 c","Kepler-1266","TIC 158167159",4.86631012000,,,4996.00,4.497000,0.831000,0.791000,"Transit","Kepler",1
"Kepler-357 c","Kepler-357","TIC 159649595",16.85837000000,,2.0160000,5036.00,4.503000,0.834000,,"Transit","Kepler",1
"Kepler-174 d","Kepler-174","TIC 158434144",247.35373000000,,8.7730000,4880.00,4.679000,0.622000,,"Transit","Kepler",1
"Kepler-82 f","Kepler-82","TIC 63372898",75.73200000000,,,,,0.898000,0.910000,"Transit Timing Variations","KOINet",1
"GJ 463 b","GJ 463","TIC 147670988",3459.00000000000,,,3563.00,,0.483000,0.486000,"Radial Velocity","Multiple Observatories",1
"K2-391 b","K2-391","TIC 9054633",4.62265400000,,,5543.00,4.973000,0.566000,0.757000,"Transit","K2",1
"Kepler-198 d","Kepler-198","TIC 122519154",1.31184443000,,1.7729000,5636.00,4.490000,0.930000,0.970000,"Transit","Kepler",1
"TOI-1117 b","TOI-1117","TIC 295541511",2.22816000000,,,5635.00,4.410000,1.050000,0.970000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"HD 11506 b","HD 11506","TIC 266680498",1617.70000000000,,,6123.00,4.390000,,1.220000,"Radial Velocity","W. M. Keck Observatory",1
"Kepler-1152 b","Kepler-1152","TIC 159382189",1.64680190800,,1.2561000,3964.00,4.730000,0.530000,0.550000,"Transit","Kepler",1
"TOI-3486 b","TOI-3486","TIC 221861843",2.21778105000,1.51500000,1.7170000,4930.00,4.569000,0.788000,0.837000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"K2-216 b","K2-216","TIC 418761354",2.17480000000,,1.8400000,4503.00,4.570000,0.720000,0.700000,"Transit","K2",1
"WASP-34 b","WASP-34","TIC 437242640",4.31768000000,1.30000000,,5700.00,4.500000,0.910000,0.960000,"Transit","SuperWASP",1
"HD 98649 b","HD 98649","TIC 437258837",5384.00000000000,,,,,,0.970000,"Radial Velocity","La Silla Observatory",1
"Kepler-967 c","Kepler-967","TIC 120962548",198.71125020000,,8.5374000,5178.00,4.560000,0.800000,0.840000,"Transit","Kepler",1
"Kepler-327 d","Kepler-327","TIC 63366281",13.96945700000,,1.4080000,3799.00,4.758000,0.492000,,"Transit","Kepler",1
"WASP-93 b","WASP-93","TIC 240681314",2.73253210000,1.09700000,2.2344000,6700.00,4.197000,1.524000,1.334000,"Transit","SuperWASP",1
"Kepler-1874 b","Kepler-1874","TIC 158219569",56.57320023000,,,4701.00,4.540000,0.775000,0.758000,"Transit","Kepler",1
"TOI-2096 b","TOI-2096","TIC 142748283",3.11906330000,0.26600000,1.0720000,3300.00,5.050000,0.235000,0.231000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"CoRoT-28 b","CoRoT-28","TIC 106352250",5.20851000000,,5.7000000,5150.00,3.600000,1.780000,1.010000,"Transit","CoRoT",1
"K2-275 c","K2-275","TIC 332022997",8.43883850000,,,4841.00,4.650000,0.690000,0.770000,"Transit","K2",1
"TOI-5789 c","TOI-5789","TIC 87216634",12.92774800000,,2.0190000,5185.00,4.511000,0.833000,0.821000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"Kepler-1050 c","Kepler-1050","TIC 48216453",21.12845690000,,3.7890000,6010.00,4.370000,1.130000,1.090000,"Transit","Kepler",1
"Kepler-275 b","Kepler-275","TIC 137634395",10.30068200000,,4.9670000,6165.00,4.229000,1.383000,,"Transit","Kepler",1
"OGLE-2014-BLG-1760L b","OGLE-2014-BLG-1760L",,,,,,,,0.803000,"Microlensing","OGLE",1
"HD 96700 b","HD 96700","TIC 23270430",8.12450000000,,,5845.00,4.390000,,0.890000,"Radial Velocity","La Silla Observatory",1
"Kepler-464 b","Kepler-464","TIC 27239696",7.25696522400,,4.8639000,5933.00,4.110000,1.590000,1.210000,"Transit","Kepler",1
"Kepler-297 c","Kepler-297","TIC 48304302",74.92013700000,,4.7940000,5619.00,4.468000,0.915000,,"Transit","Kepler",1
"Kepler-454 b","Kepler-454","TIC 121276638",10.57375340000,,,5687.00,,1.066000,1.030000,"Transit","Kepler",1
"TOI-5027 b","TOI-5027","TIC 361711730",10.24368000000,,,5909.00,4.517000,0.920000,1.020000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"Kepler-834 b","Kepler-834","TIC 158392088",13.32388301000,,3.2768000,4554.00,4.640000,0.660000,0.700000,"Transit","Kepler",1
"K2-105 b","K2-105","TIC 6892385",8.26726000000,,,5373.00,4.450000,0.905000,0.940000,"Transit","K2",1
"Kepler-1228 b","Kepler-1228","TIC 272596598",0.57736957900,,1.0963000,5063.00,4.590000,0.740000,0.780000,"Transit","Kepler",1
"KOI-142 b","KOI-142","TIC 122712595",10.91647000000,,,5466.00,,0.897000,0.990000,"Transit","Kepler",1
"HAT-P-46 b","HAT-P-46","TIC 104866616",4.46312900000,,3.0984000,6120.00,4.250000,1.396000,1.284000,"Transit","HATNet",1
"Kepler-122 b","Kepler-122","TIC 122714267",5.76619300000,,3.8460000,6050.00,4.299000,1.216000,,"Transit","Kepler",1
"Kepler-100 d","Kepler-100","TIC 159654016",35.33310000000,,,5825.00,4.125000,1.490000,1.080000,"Transit","Kepler",1
"Kepler-1208 b","Kepler-1208","TIC 63010574",11.08507637000,,1.7080000,5001.00,4.590000,0.760000,0.800000,"Transit","Kepler",1
"16 Cyg B b","16 Cyg B","TIC 27533327",798.50000000000,,,5750.00,4.360000,1.130000,1.080000,"Radial Velocity","Multiple Observatories",1
"Kepler-1481 b","Kepler-1481","TIC 299219860",5.94220998000,,2.2737000,4908.00,4.600000,0.750000,0.800000,"Transit","Kepler",1
"HD 175607 b","HD 175607","TIC 382073690",29.01000000000,,,5392.00,4.640000,0.700000,0.710000,"Radial Velocity","La Silla Observatory",1
"HD 109749 b","HD 109749","TIC 144289338",5.23989100000,,,5824.00,,1.220000,1.130000,"Radial Velocity","W. M. Keck Observatory",1
"Kepler-1166 b","Kepler-1166","TIC 406951266",33.24068820000,,4.9820000,5446.00,4.530000,0.860000,0.900000,"Transit","Kepler",1
"Kepler-157 c","Kepler-157","TIC 122716806",13.54050000000,,4.5140000,5774.00,4.389000,1.044000,,"Transit","Kepler",1
"Kepler-837 b","Kepler-837","TIC 164891482",16.56059504000,,2.2611000,5403.00,4.560000,0.810000,0.850000,"Transit","Kepler",1
"Kepler-360 c","Kepler-360","TIC 158213532",7.18643400000,,1.4060000,6053.00,4.423000,1.058000,,"Transit","Kepler",1
